#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:dna" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:dna" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <parameter id="BDBirthRate.t:dna" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:dna" name="distribution" x="@BDBirthRate.t:dna">
#            <LogNormal id="LogNormal.4" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1000.0</parameter>
#                <parameter id="RealParameter1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="0.0">3.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="DeathRatePrior.t:dna" name="distribution" x="@BDDeathRate.t:dna">
#            <Uniform id="Uniform.5" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FastRatePriorDistrbution.c:dna" name="distribution">
#            <parameter dimension="18" id="fastRates.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <LogNormal id="LogNormalDistributionModel" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#                <parameter id="fastUcldStdev.c:dna" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="1.0">0.2</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="fastUcldStdevPrior.c:dna" name="distribution" x="@fastUcldStdev.c:dna">
#            <Gamma id="Gamma.10" name="distr">
#                <parameter estimate="false" id="RealParameter.47" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.48" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@dna" id="treeLikelihood.dna" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna">
#            <siteModel id="SiteModel.s:dna" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:dna" kappa="@kappa.s:dna" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:dna" id="estimatedFreqs.s:dna" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="FastRelaxedClock.c:dna" rates="@fastRates.c:dna" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:dna">
#                <LogNormal S="@fastUcldStdev.c:dna" id="FastLogNormalDistributionModel.c:dna" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter3" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </LogNormal>
#                <parameter id="fastUcldMean.c:dna" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	fastUcldMean	fastUcldStdev	BirthDeath	BDBirthRate	BDDeathRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ratesStat.mean	ratesStat.variance	ratesStat.coefficientOfVariation
0	-6085.075514437869	-6081.706753994961	-3.368760442908183	-6081.706753994961	0.3794296206421861	2.0	1.0	0.2	2.1992093553294176	1.0	0.5	0.25	0.25	0.25	0.25	1.0075030819300026	0.07433547850545208	0.25869216788109484
2000	-5115.65053176282	-5126.195555288723	10.545023525903396	-5126.195555288723	0.2499584894548298	2.2974794227818416	1.0	0.18260861259796546	5.26549194488261	3.37762620187299	0.13524615145496424	0.24027379075082048	0.25725815411571	0.24609133247357828	0.2563767226598912	0.9762378810734494	0.0137826872697656	0.11715570854740008
4000	-5073.351721015211	-5093.242469977149	19.89074896193818	-5093.242469977149	0.2599910045818461	2.2974794227818416	1.0	0.0825815879593803	5.394084183978586	3.4061345953319804	0.25299218930286116	0.25590577076347654	0.281859246951455	0.21146303501519184	0.2507719472698768	1.0104147139451416	0.00832317045213776	0.0909196750905575
6000	-5068.561537236342	-5080.085486033227	11.5239487968853	-5080.085486033227	0.2655724566519191	2.313894242822494	1.0	0.0918791241589543	4.081365867064635	1.6615925436140042	0.6568634195584894	0.2505136407194221	0.2929494743721513	0.18856561458574808	0.2679712703226786	0.9890198676846511	0.01571613562445606	0.12559102708944678
8000	-4911.0788387557395	-5076.189258158132	165.11041940239247	-5076.189258158132	0.24373441579373878	2.456159516513932	1.0	3.008545605973188E-5	5.522290371354559	3.0322572473463727	0.38067391090203634	0.25252501702188984	0.29334682842522664	0.18026316266748468	0.27386499188539887	0.9999765242238176	9.634957519847698E-10	3.104064318260268E-5
10000	-4963.57779843357	-5068.230208371381	104.65240993781148	-5068.230208371381	0.2693326064151452	2.456159516513932	1.0	7.694799875309184E-4	5.105502438396625	3.8139515483021516	0.2789521078105756	0.2544039801783114	0.29594382652191065	0.16623457783975523	0.2834176154600227	0.999631275528426	6.299201544314486E-7	7.939466900854841E-4
12000	-5039.5072059192935	-5053.259547836223	13.752341916929328	-5053.259547836223	0.2664740272202626	2.426361414504568	1.0	0.07533825392245697	5.496787442739696	4.509123004668318	0.048192049270499165	0.284735003190155	0.2969733690975922	0.14465893931322102	0.2736326883990318	0.9857321590136469	0.01191163449611673	0.10962671566741308
14000	-5047.805433205684	-5056.979235932513	9.173802726829411	-5056.979235932513	0.25078133651430085	2.426361414504568	1.0	0.16947972433289332	5.453086579828742	4.0953937566214185	0.18157628075400206	0.28282342276201833	0.2924789873744227	0.13223548010319683	0.29246210976036224	0.9707378512174676	0.025078768506844484	0.16007036012937792
16000	-4990.372054254136	-5065.801010930393	75.42895667625692	-5065.801010930393	0.26753952481298215	2.298380522661162	1.0	0.0028566276013368952	3.380647239673544	1.5072460170830502	0.8548015812089614	0.2967275429770788	0.2891602945077019	0.12792339069322167	0.28618877182199765	0.9988033129355118	1.1178537128729692E-5	0.0033491937164394155
18000	-5034.873908643565	-5058.859293198535	23.985384554970064	-5058.859293198535	0.24245960782692838	2.3803072598032062	1.0	0.07659688247319467	3.5859466946014256	0.6631590657483374	0.8905800038720145	0.2996949454312048	0.2771714423725684	0.1408351541963148	0.28229845799991204	1.0237836642383125	0.004434887375055454	0.06623599979073258
20000	-5042.292472204965	-5058.768915966622	16.476443761657695	-5058.768915966622	0.25334043129656597	2.3803072598032062	1.0	0.08650878160499324	2.369583056748273	0.5506468252057216	0.9578010293266969	0.26820156463744155	0.2879087650671729	0.14199032051351032	0.3018993497818753	1.0168676938401446	0.009190795821742318	0.09335555469761188
22000	-5037.405966742577	-5064.054530327227	26.648563584649782	-5064.054530327227	0.24655075726337608	2.3803072598032062	1.0	0.048662428799445816	5.601536085474576	5.6325478765525405	0.23569189662778312	0.26187098661026864	0.2946537045614018	0.1378297641844524	0.3056455446438773	0.9927686173736996	0.0035260394107215513	0.05953811329552336
24000	-5050.144096730398	-5062.001617825593	11.85752109519511	-5062.001617825593	0.22978723264028766	2.599801746140995	1.0	0.14544614945070775	5.26879815079435	2.8697955607284578	0.14247038022980377	0.28710205019921786	0.3082406724155647	0.13155447258534636	0.2731028047998712	1.0449911615131202	0.013033613281262204	0.1093510669196882
26000	-5051.508870655273	-5057.808287918356	6.2994172630820255	-5057.808287918356	0.2541103174537822	2.830722397853203	1.0	0.1977233055770628	4.704929172935833	2.7318435929619755	0.4262031075416244	0.28710205019921786	0.29250874947660144	0.12702863724521588	0.29336056307896496	0.9998834177459731	0.02183325447372643	0.1417186063070879
28000	-4999.139661466133	-5066.391554510371	67.25189304423822	-5066.391554510371	0.2570157666104159	2.812407380499738	1.0	0.00713113755581252	5.595583680031585	3.9350713381437616	0.2567702619047779	0.30450318586246433	0.27332903247002893	0.13452884125586728	0.28763894041163957	0.9997448864866751	4.421103331506672E-5	0.006645712331937481
